latitude,longitude,code_client,societe
35.6946582,10.7901727,CLT112374,LSAT
35.7729274,10.8303994,CLT112381,LSAT
35.637775,10.970054,CLT112389,LSAT
36.4712792,10.7459276,CLT112397,LSAT
36.7735515,10.283386,CLT112401,LSAT
35.6505881,10.8880867,CLT112413,LSAT
36.4030892,10.6263812,CLT112429,LSAT
36.835959,10.1592869,CLT112471,LSAT
36.8359483,10.1592804,CLT112480,LSAT
36.7594773,10.0174684,CLT112492,LSAT
36.8224351,10.1796373,CLT112615,LSAT
36.4540927,10.7339772,CLT112673,LSAT
33.7996169,10.8838049,CLT112687,LSAT
33.8861551,10.1029987,CLT112694,LSAT
33.3479142,10.4909705,CLT112695,LSAT
33.8753977,10.8595164,CLT112700,LSAT
37.2710148,9.869384,CLT112725,LSAT
36.7982433,10.1820027,CLT112741,LSAT
36.8393448,10.1143483,CLT112789,LSAT
34.7781133,10.7606167,CLT112804,LSAT
34.3159264,8.4005218,CLT112833,LSAT
35.6734601,10.1017514,CLT112858,LSAT
34.7380001,10.7564936,CLT112868,LSAT
36.6798968,10.2888328,CLT112894,LSAT
36.8593508,10.2010853,CLT112921,LSAT
35.5059064,11.0543319,CLT112934,LSAT
35.8449383,10.5910379,CLT112952,LSAT
36.8567764,10.2649646,CLT112977,LSAT
36.3725741,9.9022119,CLT112993,LSAT
36.846703,11.0960875,CLT113115,LSAT
34.7490074,10.7348465,CLT113178,LSAT
35.6275493,10.7616471,CLT113227,LSAT
35.1774748,9.2803097,CLT113235,LSAT
37.0493416,11.011849,CLT113238,LSAT
35.6837378,10.1035504,CLT113244,LSAT
36.8171596,10.1877238,CLT113269,LSAT
35.6944515,10.7898793,CLT113272,LSAT
36.4632067,10.7794909,CLT113275,LSAT
35.7699904,10.8205442,CLT113318,LSAT
33.8086621,10.9911528,CLT113326,LSAT
35.6378453,10.9700601,CLT113339,LSAT
36.4546375,10.7331666,CLT113375,LSAT
36.457252,10.730043,CLT113392,LSAT
36.802401,10.1122188,CLT113394,LSAT
36.788376,10.1117124,CLT113411,LSAT
35.7648914,10.8257877,CLT113431,LSAT
35.0372747,9.4901032,CLT113432,LSAT
34.735459,10.7556964,CLT113449,LSAT
36.8101445,10.1377766,CLT113473,LSAT
36.8650016,10.185362,CLT113493,LSAT
34.7419707,10.7561325,CLT113518,LSAT
36.8274877,10.1213893,CLT113519,LSAT
34.317091,8.4017249,CLT113533,LSAT
36.4989844,8.7782854,CLT113538,LSAT
36.4538341,10.732863,CLT113545,LSAT
36.8483702,11.0897951,CLT113562,LSAT
34.7317154,10.7675908,CLT113585,LSAT
